NBCC PGV values for building code localities,,,,,,,,,,,,,,,
"mean values, soil class C",,,,,,,,,,,,,,,
,,,Annual probability,,,,,,,,,,,,
-117.28,56.23,PGV,0.002,0.0031,0.0042,0.0085,0.0151,0.0245,0.0373,0.0424,0.0636,0.0942,127,Peace River,AB
-113.95,49.48,PGV,0.0112,0.0154,0.0196,0.0338,0.0518,0.0758,0.1055,0.1164,0.1609,0.2214,128,Pincher Creek,AB
-111.68,53.42,PGV,0.0023,0.0033,0.0042,0.0075,0.0125,0.0192,0.028,0.0312,0.0445,0.0621,129,Ranfurly,AB
-113.8,52.27,PGV,0.004,0.0055,0.0072,0.0136,0.0221,0.0344,0.0509,0.0573,0.084,0.1216,130,Red Deer,AB
-114.92,52.37,PGV,0.0046,0.0065,0.0087,0.0163,0.0269,0.0422,0.062,0.0694,0.0999,0.1411,131,Rocky Mountain House,AB
-114.77,55.28,PGV,0.002,0.003,0.0039,0.0076,0.0133,0.021,0.0311,0.0347,0.0497,0.0696,132,Slave Lake,AB
-112.72,52.32,PGV,0.0035,0.0048,0.0062,0.0115,0.0185,0.0286,0.0426,0.0481,0.0718,0.1069,133,Stettler,AB
-114,53.53,PGV,0.0031,0.0042,0.0054,0.0106,0.0179,0.0286,0.0433,0.0491,0.0741,0.1111,134,Stony Plain,AB
-111.17,50.2,PGV,0.0047,0.0065,0.0086,0.0152,0.0234,0.0342,0.0476,0.0525,0.0727,0.1005,135,Suffield,AB
-112.15,49.78,PGV,0.0066,0.0095,0.0122,0.0211,0.0324,0.0471,0.0651,0.0716,0.0977,0.1328,136,Taber,AB
-114.28,50.67,PGV,0.0074,0.0106,0.0136,0.0239,0.0377,0.0571,0.0829,0.0928,0.1346,0.1939,137,Turner Valley,AB
-117.28,55.07,PGV,0.0029,0.0041,0.0055,0.0113,0.0195,0.0316,0.0478,0.0541,0.0807,0.1189,138,Valleyview,AB
-112.05,53.5,PGV,0.0023,0.0033,0.0041,0.0075,0.0126,0.0196,0.0288,0.0322,0.046,0.0643,139,Vegreville,AB
-110.85,53.37,PGV,0.0021,0.0031,0.0038,0.0068,0.0114,0.0176,0.0256,0.0286,0.0409,0.0575,140,Vermilion,AB
-114.98,55.35,PGV,0.002,0.003,0.004,0.0077,0.0135,0.0213,0.0316,0.0353,0.0506,0.071,141,Wagner,AB
-110.87,52.82,PGV,0.0024,0.0034,0.0042,0.0075,0.0124,0.0188,0.0271,0.0302,0.0428,0.0596,142,Wainwright,AB
-113.37,52.97,PGV,0.0032,0.0044,0.0057,0.0109,0.0181,0.0287,0.0434,0.0492,0.0741,0.1109,143,Wetaskiwin,AB
-115.68,54.15,PGV,0.003,0.0042,0.0057,0.0117,0.0199,0.032,0.0481,0.0543,0.0805,0.1185,144,Whitecourt,AB
-113.58,51.87,PGV,0.0044,0.0061,0.0079,0.0145,0.0232,0.0356,0.0522,0.0587,0.0853,0.1227,145,Wimborne,AB
-105.98,49.63,PGV,0.002,0.0031,0.0042,0.0092,0.0178,0.0314,0.0495,0.0563,0.083,0.1164,146,Assiniboia,SK
-108.33,50.55,PGV,0.0026,0.0036,0.0046,0.0084,0.0138,0.0207,0.0294,0.0325,0.045,0.061,147,Battrum,SK
-108,52.07,PGV,0.0018,0.0027,0.0035,0.0062,0.0106,0.0165,0.0242,0.027,0.0383,0.0537,148,Biggar,SK
-102.58,50.37,PGV,0.0008,0.0014,0.0022,0.0055,0.0115,0.0199,0.0308,0.0346,0.0499,0.0693,149,Broadview,SK
-104.53,51.75,PGV,0.0009,0.0015,0.0022,0.0051,0.0101,0.0168,0.0255,0.0287,0.0414,0.0578,150,Dafoe,SK
-106.5,51.82,PGV,0.0011,0.0017,0.0025,0.0053,0.01,0.0165,0.0248,0.0279,0.0399,0.0558,151,Dundurn,SK
-102.98,49.13,PGV,0.0008,0.0015,0.0026,0.0072,0.0158,0.029,0.0462,0.0526,0.0783,0.1103,152,Estevan,SK
-102.38,52.85,PGV,0.0007,0.0012,0.0017,0.0042,0.008,0.0139,0.0213,0.0242,0.0357,0.0515,153,Hudson Bay,SK
-105.12,52.2,PGV,0.0009,0.0014,0.0021,0.0048,0.0094,0.0158,0.0239,0.0268,0.0387,0.0545,154,Humboldt,SK
-102.35,55.53,PGV,0.0006,0.0009,0.0013,0.0033,0.0064,0.0118,0.019,0.0218,0.0336,0.0499,155,Island Falls,SK
-101.9,51.57,PGV,0.0007,0.0012,0.0018,0.0044,0.0088,0.0153,0.0236,0.0266,0.0387,0.0548,156,Kamsack,SK
-109.17,51.47,PGV,0.0025,0.0035,0.0044,0.0078,0.0127,0.0191,0.027,0.03,0.0416,0.0571,157,Kindersley,SK
-110,53.28,PGV,0.0019,0.0028,0.0036,0.0063,0.0107,0.0165,0.0241,0.027,0.0386,0.0545,158,Lloydminster,SK
-109.48,49.92,PGV,0.0036,0.0048,0.0062,0.0114,0.0176,0.0256,0.0351,0.0385,0.0517,0.0684,159,Maple Creek,SK
-108.43,54.13,PGV,0.0011,0.0017,0.0024,0.0048,0.0087,0.0144,0.0216,0.0244,0.0357,0.0513,160,Meadow Lake,SK
