NBCC PGA values for building code localities,,,,,,,,,,,,,,,
"mean values, soil class C",,,,,,,,,,,,,,,
,,,Annual probability,,,,,,,,,,,,
-119.28,50.7,PGA,0.0038,0.0052,0.0067,0.0128,0.0217,0.0348,0.0524,0.0592,0.0877,0.1275,62,Salmon Arm,BC
-131.82,53.25,PGA,0.1106,0.1412,0.1703,0.2577,0.3519,0.4589,0.5682,0.6067,0.7299,0.8594,63,Sandspit,BC
-123.4,48.65,PGA,0.0824,0.1056,0.1285,0.2019,0.2905,0.3942,0.5054,0.5433,0.6794,0.8262,64,Sidney,BC
-126.43,59.88,PGA,0.0253,0.0352,0.0456,0.0818,0.1337,0.2121,0.316,0.3519,0.488,0.6443,65,Smith River,BC
-127.167,54.783,PGA,0.0045,0.0065,0.0088,0.015,0.0218,0.0307,0.0425,0.0474,0.0687,0.1013,66,Smithers,BC
-123.15,49.7,PGA,0.0324,0.0423,0.0521,0.085,0.1263,0.18,0.2437,0.2664,0.3549,0.4649,67,Squamish,BC
-129.98,55.93,PGA,0.0072,0.0096,0.0122,0.0209,0.0314,0.0445,0.0611,0.0676,0.0962,0.1403,68,Stewart,BC
-120.69,56.2,PGA,0.0018,0.0032,0.0047,0.0119,0.0233,0.0416,0.068,0.0787,0.1251,0.193,69,Taylor,BC
-128.6,54.52,PGA,0.0084,0.0115,0.0147,0.0244,0.0353,0.049,0.0657,0.072,0.0995,0.1426,70,Terrace,BC
-125.88,49.12,PGA,0.0353,0.0454,0.0564,0.1029,0.2121,0.4233,0.6328,0.696,0.9111,1.1342,71,Tofino,BC
-117.7,49.1,PGA,0.0036,0.0048,0.0062,0.0117,0.02,0.0328,0.0506,0.0576,0.0871,0.1287,72,Trail,BC
-125.55,48.93,PGA,0.0322,0.0418,0.0524,0.0959,0.2009,0.4281,0.6427,0.7084,0.9285,1.1547,73,Ucluelet,BC
-122.92,49.28,PGA,0.0468,0.0603,0.0736,0.1161,0.1683,0.2332,0.3074,0.3323,0.4294,0.5399,74,Burnaby (Simon Fraser Univ.),BC
-122.733,49.1,PGA,0.0515,0.066,0.0802,0.1248,0.1792,0.2455,0.3205,0.3459,0.4431,0.5547,75,Cloverdale,BC
-122.6,49.22,PGA,0.0431,0.055,0.0671,0.1055,0.1518,0.2096,0.2769,0.3008,0.3891,0.4954,76,Haney,BC
-123.08,49.08,PGA,0.0605,0.0774,0.0939,0.1467,0.2091,0.2856,0.3693,0.3988,0.5026,0.6246,77,Ladner,BC
-122.65,49.1,PGA,0.0497,0.0636,0.0773,0.12,0.1723,0.2365,0.3096,0.3342,0.4297,0.5387,78,Langley,BC
-122.92,49.22,PGA,0.0498,0.064,0.0781,0.1226,0.1774,0.2442,0.3202,0.3458,0.4442,0.5568,79,New Westminster,BC
-123.07,49.32,PGA,0.0478,0.0618,0.0756,0.1196,0.174,0.2416,0.3182,0.3442,0.444,0.5583,80,North Vancouver,BC
-123.1,49.17,PGA,0.056,0.072,0.0876,0.1382,0.1978,0.2718,0.3536,0.3821,0.485,0.6058,81,Richmond,BC
-122.79,49.163,PGA,0.0497,0.0638,0.0777,0.1212,0.1747,0.2404,0.3146,0.3396,0.4366,0.5473,82,Surrey (88 Ave & 156 St.),BC
-123.12,49.25,PGA,0.0522,0.0673,0.0822,0.13,0.1879,0.2593,0.3394,0.3669,0.4691,0.5878,83,Vancouver (city hall),BC
