NBCC Sa(0.3) second values for building code localities,,,,,,,,,,,,,,,
"mean values, soil class C",,,,,,,,,,,,,,,
,,,Annual probability,,,,,,,,,,,,
-123.15,49.7,0.3,0.079,0.1017,0.1241,0.1984,0.2912,0.4068,0.5399,0.5881,0.767,0.9845,67,Squamish,BC
-129.98,55.93,0.3,0.023,0.0276,0.0322,0.0471,0.0666,0.0926,0.1258,0.1383,0.1918,0.2687,68,Stewart,BC
-120.69,56.2,0.3,0.0049,0.0078,0.0113,0.0241,0.0432,0.0715,0.1091,0.1233,0.1814,0.2584,69,Taylor,BC
-128.6,54.52,0.3,0.0243,0.0297,0.035,0.0527,0.0749,0.1024,0.1358,0.1484,0.2003,0.2745,70,Terrace,BC
-125.88,49.12,0.3,0.0887,0.1111,0.1349,0.2354,0.464,0.9003,1.3657,1.4999,1.9779,2.4865,71,Tofino,BC
-117.7,49.1,0.3,0.0135,0.0173,0.0211,0.0336,0.0504,0.0746,0.1077,0.1206,0.1742,0.2469,72,Trail,BC
-125.55,48.93,0.3,0.082,0.1037,0.1271,0.2225,0.4389,0.9037,1.3874,1.5239,2.0103,2.5253,73,Ucluelet,BC
-122.92,49.28,0.3,0.1113,0.1425,0.1736,0.2727,0.3925,0.5393,0.7083,0.7674,0.9794,1.2261,74,Burnaby (Simon Fraser Univ.),BC
-122.733,49.1,0.3,0.1216,0.1548,0.1877,0.2921,0.4171,0.568,0.7406,0.7991,1.0185,1.2683,75,Cloverdale,BC
-122.6,49.22,0.3,0.1031,0.131,0.1586,0.2469,0.3516,0.4816,0.6321,0.6833,0.8762,1.1068,76,Haney,BC
-123.08,49.08,0.3,0.1412,0.1806,0.2193,0.3428,0.4895,0.6687,0.8638,0.9309,1.1716,1.4479,77,Ladner,BC
-122.65,49.1,0.3,0.1173,0.1492,0.1809,0.2806,0.3996,0.5446,0.7112,0.7691,0.9791,1.2235,78,Langley,BC
-122.92,49.22,0.3,0.1178,0.1507,0.1837,0.288,0.4138,0.5668,0.7422,0.8012,1.0223,1.2743,79,New Westminster,BC
-123.07,49.32,0.3,0.1134,0.1456,0.1779,0.2809,0.4063,0.5593,0.7349,0.7943,1.0153,1.2673,80,North Vancouver,BC
-123.1,49.17,0.3,0.1317,0.1687,0.2053,0.3233,0.4636,0.636,0.8247,0.8886,1.1244,1.3972,81,Richmond,BC
-122.79,49.163,0.3,0.1176,0.1501,0.1824,0.2845,0.4069,0.5561,0.7273,0.7859,1.0017,1.2497,82,Surrey (88 Ave & 156 St.),BC
-123.12,49.25,0.3,0.1232,0.1581,0.1929,0.3057,0.4405,0.6056,0.789,0.8503,1.0813,1.3464,83,Vancouver (city hall),BC
-123.14,49.234,0.3,0.1258,0.1615,0.1971,0.312,0.4489,0.6176,0.8032,0.8656,1.0988,1.3682,84,Vancouver (Granville & 41 Ave),BC
-123.17,49.33,0.3,0.1158,0.149,0.1823,0.2896,0.4199,0.5782,0.7591,0.8186,1.0451,1.3034,85,West Vancouver,BC
-119.27,50.3,0.3,0.0141,0.0182,0.0223,0.0363,0.055,0.081,0.1144,0.127,0.1786,0.2479,86,Vernon,BC
-123.32,48.42,0.3,0.1951,0.25,0.3049,0.4786,0.6893,0.937,1.2044,1.2968,1.6167,1.9681,87,Victoria Gonzales Height,BC
-123.33,48.47,0.3,0.1951,0.2501,0.3054,0.4783,0.6875,0.9332,1.1986,1.29,1.6082,1.9584,88,Victoria Mt Tolmie,BC
-123.37,48.43,0.3,0.194,0.249,0.304,0.4786,0.6915,0.9423,1.2123,1.3058,1.6284,1.9819,89,Victoria,BC
-122.15,52.133,0.3,0.0125,0.0164,0.0206,0.0351,0.0547,0.0818,0.1165,0.1297,0.1837,0.2572,90,Williams Lake,BC
-124.2,48.88,0.3,0.1491,0.1942,0.2417,0.4053,0.6177,0.8703,1.1448,1.2362,1.5569,1.9025,91,Youbou,BC
-113.28,54.72,0.3,0.0034,0.0049,0.0066,0.0131,0.0215,0.0336,0.0494,0.0554,0.0796,0.1116,92,Athabasca,AB
-115.57,51.17,0.3,0.0135,0.0198,0.0269,0.0541,0.094,0.1502,0.2214,0.248,0.3521,0.4887,93,Banff,AB
-114.4,54.13,0.3,0.0047,0.0069,0.0097,0.0184,0.0307,0.0487,0.0738,0.0838,0.1275,0.1943,94,Barrhead,AB
-119.43,55.22,0.3,0.006,0.0095,0.0132,0.0269,0.0474,0.0779,0.1185,0.1343,0.1978,0.2845,95,Beaverlodge,AB
-111.88,50.58,0.3,0.0082,0.0113,0.0142,0.0239,0.037,0.0564,0.0836,0.0945,0.1421,0.2118,96,Brooks,AB
-114.08,51.05,0.3,0.0116,0.0162,0.0211,0.0393,0.0658,0.1037,0.1515,0.1693,0.2395,0.329,97,Calgary,AB
-114.65,54.13,0.3,0.005,0.0074,0.0103,0.0195,0.0326,0.0519,0.0788,0.0894,0.1359,0.206,98,Campsie,AB
