SECAN_COLLAPSE Mean SA[1.0] Hazard (g)
 
---OpenQuake---
 
Location,Province,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Québec, QC,0.0111,0.0154,0.0198,0.0346,0.0544,0.0820,0.1186,0.1328,0.1933,0.2829
Rivière-du-Loup, QC,0.0160,0.0231,0.0306,0.0589,0.1011,0.1652,0.2538,0.2881,0.4313,0.6230
Fredericton, NB,0.0071,0.0104,0.0133,0.0227,0.0342,0.0485,0.0655,0.0715,0.0945,0.1240
Halifax, NS,0.0047,0.0066,0.0089,0.0160,0.0245,0.0353,0.0481,0.0527,0.0708,0.0939
Charlottetown, PE,0.0050,0.0071,0.0096,0.0166,0.0250,0.0351,0.0468,0.0509,0.0666,0.0863
St. John's, NL,0.0026,0.0041,0.0058,0.0130,0.0217,0.0324,0.0445,0.0486,0.0645,0.0835

 
---Ratios---	GSCFRISK / OQ
 
Location,Province,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Regina, SK,0.2667,0.4333,0.6667,1.7000,2.7292,2.3955,2.1792,2.1227,1.9810,1.8484
Winnipeg, MB,0.1333,0.2333,0.3333,0.8333,1.1166,1.0980,1.0834,1.0698,1.0515,1.0404
Thunder Bay, ON,0.1667,0.2333,0.3667,0.9667,1.1555,1.1589,1.1068,1.1020,1.0652,1.0429
Windsor, ON,0.4667,0.7667,1.1000,1.1780,1.1730,1.1194,1.0887,1.0777,1.0547,1.0421
Sudbury, ON,0.9667,1.1670,1.1276,1.1330,1.0911,1.0620,1.0435,1.0409,1.0306,1.0223
Toronto (city hall), ON,1.1672,1.0996,1.0937,1.0834,1.0537,1.0269,1.0181,1.0166,1.0151,1.0164
Ottawa (Kanata), ON,1.0134,1.0482,1.0378,1.0297,1.0210,1.0206,1.0233,1.0244,1.0322,1.0428
Montréal (city hall), QC,1.0364,1.0356,1.0372,1.0260,1.0181,1.0202,1.0235,1.0249,1.0312,1.0368
Québec, QC,1.0356,1.0303,1.0225,1.0178,1.0149,1.0174,1.0199,1.0213,1.0247,1.0302
Rivière-du-Loup, QC,1.0261,1.0246,1.0170,1.0152,1.0150,1.0188,1.0223,1.0214,1.0294,1.0352
Fredericton, NB,1.0567,1.0923,1.0766,1.0471,1.0320,1.0209,1.0198,1.0178,1.0163,1.0174
Halifax, NS,1.5355,1.4267,1.3988,1.2749,1.1788,1.1173,1.0763,1.0653,1.0439,1.0287
Charlottetown, PE,1.2118,1.1836,1.2089,1.1475,1.1118,1.0779,1.0583,1.0525,1.0400,1.0299
St. John's, NL,0.8667,1.1177,1.0711,1.0951,1.0630,1.0452,1.0322,1.0268,1.0236,1.0183

 
---% Difference---	GSCFRISK / OQ
 
Location,Province,P 0.02,P 0.01375,P 0.01,P 0.00445,P 0.0021,P 0.001,P 0.0005,P 0.000404,P 0.0002,P 0.0001
Regina, SK,-115.79,-79.07,-40.00,51.85,92.74,82.20,74.18,71.90,65.82,59.57
Winnipeg, MB,-152.94,-124.32,-100.00,-18.18,11.02,9.34,8.01,6.74,5.02,3.96
Thunder Bay, ON,-142.86,-124.32,-92.68,-3.39,14.43,14.72,10.14,9.70,6.31,4.20
Windsor, ON,-72.73,-26.42,9.52,16.34,15.92,11.27,8.49,7.48,5.32,4.12
Sudbury, ON,-3.39,15.41,11.99,12.47,8.71,6.01,4.26,4.01,3.01,2.20
Toronto (city hall), ON,15.43,9.49,8.95,8.01,5.23,2.65,1.80,1.65,1.50,1.63
Ottawa (Kanata), ON,1.33,4.71,3.71,2.92,2.07,2.04,2.30,2.41,3.17,4.19
Montréal (city hall), QC,3.57,3.49,3.65,2.56,1.79,2.00,2.32,2.46,3.08,3.62
Québec, QC,3.50,2.99,2.23,1.76,1.48,1.73,1.97,2.11,2.44,2.97
Rivière-du-Loup, QC,2.58,2.43,1.68,1.51,1.49,1.86,2.21,2.11,2.90,3.46
Fredericton, NB,5.52,8.83,7.38,4.60,3.15,2.06,1.96,1.76,1.62,1.72
Halifax, NS,42.24,35.17,33.25,24.17,16.42,11.08,7.35,6.32,4.30,2.82
Charlottetown, PE,19.15,16.81,18.91,13.74,10.58,7.49,5.67,5.12,3.92,2.94
St. John's, NL,-14.29,11.12,6.87,9.08,6.10,4.42,3.17,2.65,2.33,1.81
